 X, Y
 0.5356, 0.0248
 0.3877, -0.2423
 1.0126, 0.1243
 0.8773, -0.6609
 0.8845, 0.3701
-0.2098, 0.4719
 0.3776, -0.3293
 0.6846, -0.7928
 1.0017, -0.0823
-0.2206, -1.0751
-0.7296, 0.6201
-0.3342, 0.4296
-0.0749, -0.4452
 0.1993, -0.4095
-0.5231, -0.1919
 0.9713, 0.1185
-0.4439, -0.8450
-0.4298, 0.0439
 0.3738, -0.3027
-0.3149, 0.2869
-0.9580, -0.0836
-0.1231, 0.4539
-0.3790, -0.3584
 0.7337, 0.5650
 0.9581, 0.3862
 1.0199, 0.2181
 0.0600, -0.5325
-0.0091, -0.9607
-0.3071, -0.5022
 0.9399, 0.1862
 0.4636, -0.0131
-0.0136, -0.5375
 0.2544, -0.8625
 0.6493, -0.8661
-0.3056, 0.3305
 0.1582, -0.4128
 0.9119, 0.0886
-0.6352, -0.1155
 0.8304, -0.6284
 0.5630, -0.0366
 0.9033, -0.5581
 0.0343, 1.0017
-0.4210, 0.8302
-0.1098, 0.5935
 0.8562, -0.2769
-0.4409, -0.9309
-0.0339, 0.4378
 0.4764, 0.1541
-1.0514, -0.0353
-0.5528, 0.8708
-1.0365, -0.0096
 0.5369, -0.2879
-0.4718, 0.0873
 0.3327, 0.4419
 1.1071, 0.2047
 0.1897, 0.4612
-1.0201, 0.0192
 0.1401, 0.5067
-0.0568, -0.9734
 0.3677, 0.9352
-0.2705, -0.9719
 0.4660, 0.0844
 0.2252, -0.4546
 0.3332, 0.9338
-0.8242, 0.7005
-0.4181, 0.1631
-0.7670, -0.6361
-0.4966, 0.1412
 0.6107, -0.7822
-0.4271, 0.3000
-0.1349, -0.9442
-0.3101, 0.5119
-0.0560, 0.5613
 0.0069, -0.4678
-0.0495, 0.4620
-0.3703, -0.3092
-0.6752, -0.7084
 0.4193, -0.1341
 0.9620, -0.0756
-0.3517, -0.3045
-0.7847, 0.4981
-0.2911, -0.9567
-0.7499, 0.7265
 0.6101, -0.8420
 0.1400, 0.9805
-0.4899, 0.0372
-0.1669, 0.4861
 0.4408, 0.1242
-1.0256, -0.1635
-0.1504, -0.9992
 0.2753, 1.0068
-0.6974, 0.7181
 0.5710, 0.7237
 0.2979, 0.4060
-0.4716, 0.1653
-0.9132, -0.4949
 0.2753, 0.3406
 0.3925, 0.3932
-0.9139, -0.3871
-0.9366, 0.4301
-0.2887, 1.0051
 0.8948, 0.3126
-0.4029, -0.2223
-0.5259, 0.1871
-0.1737, 0.4741
-0.4100, -0.1529
-0.1372, -0.5429
 0.2473, -0.4778
-0.4458, 0.3986
 0.0428, 0.4618
-0.8627, -0.5060
-0.8093, 0.5714
-0.4949, -0.8662
-0.9931, 0.5266
 0.9760, -0.1366
-0.7451, 0.5248
 0.4399, 0.3335
-0.3585, -0.2820
-0.0599, 0.4814
-0.3502, 0.4223
-1.0016, 0.1967
-0.9045, 0.4428
-0.5561, 0.8095
-0.4798, -0.1608
 0.3093, -0.3926
 0.6586, -0.7322
-0.2672, 0.9160
-0.0203, 1.0200
-0.2461, 0.4583
-0.9337, -0.4735
-0.2223, 0.4817
 0.6042, 0.7006
 0.0937, 0.3849
-0.0172, 0.4698
 0.4823, 0.8223
 0.6310, -0.6431
 0.4929, 0.0255
 0.5113, 0.2729
 1.0234, 0.0017
 0.2210, -1.0011
 0.4197, -0.8635
 0.2187, 0.3646
 0.3866, 0.9094
-1.0226, 0.1999
 0.5501, -0.0765
 0.4656, 0.8796
-0.0162, -0.5178
-0.3940, -0.3309
 0.0439, -0.4923
 0.9239, -0.2766
-0.4701, -0.2497
 0.4541, -0.2074
-0.4016, -0.3476
-0.8204, -0.4880
-1.0309, -0.2865
 0.3482, -0.8338
-0.8409, 0.1896
 0.1840, -0.4189
-0.9396, 0.0271
-0.3427, 0.3863
-0.9568, -0.2006
 0.7958, -0.5776
 1.0022, -0.1975
-0.7230, -0.6544
 0.0511, 0.4883
 0.1084, -0.4198
-0.3738, 0.9228
 0.3826, -0.4536
 0.4680, 0.1485
-0.9040, -0.4717
 0.3234, -0.4411
 0.1019, -0.9518
-0.6209, -0.0738
-0.9711, 0.4836
-0.9695, 0.1830
 0.0136, -0.5067
 0.3820, 0.1045
 0.1184, -0.5377
-0.9637, -0.3316
-0.6156, 0.6834
-0.2647, -0.5182
 0.5649, 0.7861
-0.1093, 0.4787
 0.1151, -0.9657
-0.4274, 0.3818
 0.7472, 0.7227
 0.8669, -0.5071
 0.5541, 0.8307
 0.9365, -0.2996
-0.2334, 1.0609
 1.0695, -0.0029
-0.5219, -0.9302
 0.2271, 0.3807
 0.2516, -0.9177
-0.8845, 0.1578
 0.8923, 0.6526
 0.4935, -0.9152
-0.0365, 0.9669
-0.1800, -0.5103
-0.4657, 0.1639
-0.2388, -0.4159
-0.4433, -0.3135
 0.0392, 0.5134
 0.3548, -0.3501
-0.5957, 0.7866
 0.2039, 0.4055
 0.5046, -0.1195
 0.3343, 0.3634
-0.5128, -0.0953
 0.3867, 0.3102
 0.0525, -0.4424
-0.7089, -0.8582
 0.1372, 0.4855
 0.8608, 0.5214
-0.2138, -0.3885
 0.3381, 0.9409
 0.3285, -0.8831
-0.2263, 0.4579
-0.4638, -0.3175
 0.3321, -0.4124
 0.0768, -0.4230
-0.4575, -0.1362
-0.3227, 0.4239
 0.4772, -0.8045
-0.5186, 0.7617
-0.8813, -0.2523
-0.7030, 0.7422
 0.5974, -0.2950
 0.3278, -0.4663
-0.4033, -0.2440
-1.0077, 0.2869
-0.6583, 0.7552
 0.9470, -0.5783
-0.4209, 0.3119
 0.2667, 0.9652
 0.8194, 0.4303
 0.1950, 0.3989
 0.5359, 0.1789
-0.3707, -0.3006
 0.9264, 0.4246
-0.0917, 0.5099
-0.4428, -0.3533
-0.1747, 0.4964
 0.3843, -0.3726
 0.7535, -0.6900
 0.4919, 0.1217
-0.4398, 0.0601
-0.3924, 0.9412
-0.9488, -0.4390
 0.8631, 0.4243
 0.5058, 0.8510
-0.3903, 0.4196
-0.9353, 0.4960
-0.4953, -0.8651
-0.7682, 0.7342
-0.1867, 0.9772
-0.4679, -0.1196
-0.2497, 0.4894
 0.6696, 0.7968
 0.9597, -0.3928
-0.9327, 0.1478
 0.5056, 0.0213
-0.0707, -0.5119
-0.8915, -0.5552
-0.3523, 0.9016
-0.8557, -0.6092
 0.5483, 0.0898
-0.7802, 0.4930
-0.1084, -1.0647
 0.4588, -0.0524
-0.4638, 0.1295
-0.5745, -0.7774
-0.5033, 0.0341
 0.2266, 0.4698
 0.4718, 0.1160
-0.0365, -0.5149
 0.2676, 0.4953
 0.3714, 0.1338
 0.0202, -0.4327
 0.2769, 0.4830
-0.5990, 0.7595
 0.0507, 0.5232
-0.1299, 1.0074
 1.0841, 0.0491
-0.2877, 0.4473
 0.4013, 0.3451
-0.3734, 0.4160
-0.6474, -0.8193
 0.2490, 0.3891
 0.5103, -0.2050
 0.0590, -1.0259
-0.3803, 0.4707
-0.4275, 0.3313
-0.0268, 0.5184
-0.7911, -0.5838
 0.1551, 0.5273
 0.5687, -0.0082
-0.5044, 0.1369
 0.4485, 0.9699
 0.6992, -0.7041
-0.4973, 0.8421
 0.7835, 0.6448
-0.0284, -0.5013
 0.2072, 0.4712
 0.0484, 0.9868
 0.0380, -1.0059
-0.4978, 0.1812
 0.7714, 0.6816
-0.4633, 0.9583
 0.4727, 0.9186
 0.0596, 0.4877
 0.1259, 1.0091
-0.9671, 0.1151
-0.0932, -0.5551
 0.4081, -0.0680
 0.4719, -0.0946
 0.1456, -0.4495
 0.4224, 0.2787
 0.2815, 0.4136
 0.7904, 0.5262
-0.5558, 0.0859
-0.1902, -0.4020
-0.5523, -0.0621
-0.1116, 0.4511
 0.2252, -0.5319
 0.3035, -1.0453
-0.9555, -0.2971
-0.7225, -0.5828
-0.0911, 0.5264
 0.9959, 0.1598
 0.2332, 0.9094
 0.3901, -0.2507
-0.6190, 0.7866
-0.0306, 0.9507
-0.8441, 0.4427
-0.4655, -0.1932
-0.3349, 0.8734
-0.9434, -0.2844
-0.3265, -0.8521
-0.9104, 0.3199
-0.9524, 0.1780
 0.6442, 0.8658
-0.2777, -0.8927
 0.2722, 0.5415
 0.4176, -0.3911
-0.0901, -0.3830
 0.4613, -0.9074
-0.2469, -0.3876
 0.1217, 1.0056
 0.3693, -0.3488
-0.9704, -0.1823
 0.2136, -0.4514
 0.2994, 0.4523
-0.6958, -0.7270
-0.2614, -0.3771
 0.6179, 0.8321
 0.4935, -0.0235
 0.1713, 0.9156
-0.4985, 0.1565
 0.3213, 0.9369
 0.3699, -0.9483
-0.3568, -0.8624
 0.7443, -0.6928
-0.1889, -0.5373
 0.7865, -0.3997
-0.0601, -0.4931
 0.9917, -0.2357
-0.2673, 0.4667
-0.2302, 1.0420
-0.0133, 0.9885
 0.5209, -0.0086
 0.5066, 0.0844
 0.4098, -0.2524
-0.4386, 0.3081
 0.4472, -0.3350
-0.5636, 0.1247
 0.5218, 0.8796
 0.3578, -0.8436
 0.5633, 0.0209
 0.1290, 0.9364
 0.1759, 1.0386
-0.0161, 1.0030
-0.9240, 0.2404
 0.4754, -0.1315
-0.4244, -0.9255
-0.5010, -0.0557
-0.7325, -0.6669
 0.2635, 0.3657
-0.3309, -0.3589
 0.9886, -0.1037
-0.3199, 0.8803
-0.3650, -0.2479
-0.2657, 0.3700
-0.2648, -0.4402
 1.0215, 0.4235
 0.4638, 0.3709
-0.3894, -0.0574
-0.6484, -0.7458
-0.8478, 0.5296
-0.9330, 0.0906
 0.8643, 0.5352
-0.2223, 0.5598
 0.7421, 0.6136
 0.1047, -0.4696
-0.3233, -0.3171
 0.0036, 1.0432
-0.2853, 0.9283
 0.8918, -0.4372
 0.5014, -0.1107
 0.9606, -0.0610
 0.9087, 0.3427
 0.4087, 0.2440
 0.5331, -0.9040
 0.3622, 0.1798
 0.4601, -0.1931
-0.5025, -0.8762
-0.1988, -0.4240
 0.0343, -0.4464
 0.8495, -0.5882
 0.4701, -0.1528
 0.3462, -0.4343
 0.9145, -0.2358
-0.4402, 0.2794
 0.3061, 0.4111
-0.9117, -0.4146
 0.8768, 0.5304
 0.7010, -0.6728
-0.5092, 0.1950
 0.9743, -0.2557
 0.3420, -0.4369
 0.0926, -0.9253
-0.4277, 0.2354
-0.5161, -0.9285
-0.4990, 0.0278
-0.6213, -0.8386
-0.4402, -0.1789
-0.2728, 0.4432
 0.4447, 0.1643
-0.0581, -0.9861
 0.4518, -0.2544
-0.9305, 0.4001
-0.2784, -0.9463
 0.3486, 0.3212
 0.2770, 0.3629
 0.4455, -0.8424
-0.2745, -0.2759
-0.0851, -0.5515
-0.1722, -0.9963
 0.8992, -0.1477
-0.4286, 0.1120
 0.2572, -0.4611
-0.9300, -0.1769
 0.5990, -0.7466
-0.0080, -0.9636
-0.0837, -0.4481
 0.4490, -0.9039
 0.8693, -0.5209
 0.5885, 0.8079
-0.3371, -0.3622
-0.7518, 0.6385
 0.5793, -0.8024
 0.3519, 0.2342
 0.5102, 0.0873
 0.2103, -0.2820
-0.4394, -0.0522
-1.0540, -0.1077
-0.3297, -0.5577
-0.7824, -0.6827
 0.3431, -0.4522
 0.4774, -0.1959
 0.1158, -0.4714
-0.1264, -0.9601
 1.0087, 0.3697
 0.0861, 0.5522
 0.5304, 0.1948
 0.8585, -0.3509
 0.2344, -1.0106
-0.5187, -0.0176
-0.6018, 0.0719
-0.9850, -0.0132
 0.3270, -0.2318
 0.7927, -0.5948
-0.2107, -0.4830
 0.8932, -0.3357
 0.1206, -0.5010
 0.9922, -0.0412
-0.3531, 0.9692
 0.6402, 0.6308
-0.3397, -0.3749
 0.7193, 0.5459
 0.3619, 0.3154
-0.3141, -0.4705
-0.1404, 0.4716
 0.5057, 0.0577
 0.2900, 0.4671
-0.9430, -0.1551
-0.5320, 0.0060
 0.1550, -0.9359
-0.2410, -1.0216
-0.7371, -0.61011